Allele1,Allele2,Value
Arm05_101,Arm05_101,1.0
Arm05_101,Arm05_102,0.0
Arm05_101,Arm05_103,0.0
Arm05_101,Arm05_104,0.0
Arm05_101,Arm05_105,0.0
Arm05_101,Arm05_106,0.0
Arm05_101,Arm05_107,0.0
Arm05_101,Arm05_108,0.0
Arm05_101,Arm05_109,0.0
Arm05_101,Arm05_110,0.0
Arm05_101,Arm05_111,0.0
Arm05_101,Arm05_112,0.0
Arm05_101,Arm05_113,0.0
Arm05_101,Arm05_114,0.0
Arm05_102,Arm05_101,0.0
Arm05_102,Arm05_102,1.0
Arm05_102,Arm05_103,0.0
Arm05_102,Arm05_104,0.0
Arm05_102,Arm05_105,0.0
Arm05_102,Arm05_106,0.0
Arm05_102,Arm05_107,0.1
Arm05_102,Arm05_108,0.0
Arm05_102,Arm05_109,0.0
Arm05_102,Arm05_110,0.0
Arm05_102,Arm05_111,0.0
Arm05_102,Arm05_112,0.0
Arm05_102,Arm05_113,0.0
Arm05_102,Arm05_114,0.0
Arm05_103,Arm05_101,0.0
Arm05_103,Arm05_102,0.0
Arm05_103,Arm05_103,1.0
Arm05_103,Arm05_104,0.0
Arm05_103,Arm05_105,0.0
Arm05_103,Arm05_106,0.0
Arm05_103,Arm05_107,0.0
Arm05_103,Arm05_108,0.0
Arm05_103,Arm05_109,0.0
Arm05_103,Arm05_110,0.0
Arm05_103,Arm05_111,0.0
Arm05_103,Arm05_112,0.0
Arm05_103,Arm05_113,0.0
Arm05_103,Arm05_114,0.0
Arm05_104,Arm05_101,0.0
Arm05_104,Arm05_102,0.0
Arm05_104,Arm05_103,0.0
Arm05_104,Arm05_104,1.0
Arm05_104,Arm05_105,0.0
Arm05_104,Arm05_106,0.0
Arm05_104,Arm05_107,0.0
Arm05_104,Arm05_108,0.0
Arm05_104,Arm05_109,0.1
Arm05_104,Arm05_110,0.0
Arm05_104,Arm05_111,0.0
Arm05_104,Arm05_112,0.0
Arm05_104,Arm05_113,0.0
Arm05_104,Arm05_114,0.0
Arm05_105,Arm05_101,0.0
Arm05_105,Arm05_102,0.0
Arm05_105,Arm05_103,0.0
Arm05_105,Arm05_104,0.0
Arm05_105,Arm05_105,1.0
Arm05_105,Arm05_106,0.0
Arm05_105,Arm05_107,0.0
Arm05_105,Arm05_108,0.0
Arm05_105,Arm05_109,0.0
Arm05_105,Arm05_110,0.0
Arm05_105,Arm05_111,0.0
Arm05_105,Arm05_112,0.0
Arm05_105,Arm05_113,0.0
Arm05_105,Arm05_114,0.0
Arm05_106,Arm05_101,0.0
Arm05_106,Arm05_102,0.0
Arm05_106,Arm05_103,0.0
Arm05_106,Arm05_104,0.0
Arm05_106,Arm05_105,0.0
Arm05_106,Arm05_106,1.0
Arm05_106,Arm05_107,0.0
Arm05_106,Arm05_108,0.0
Arm05_106,Arm05_109,0.0
Arm05_106,Arm05_110,0.0
Arm05_106,Arm05_111,0.0
Arm05_106,Arm05_112,0.0
Arm05_106,Arm05_113,0.0
Arm05_106,Arm05_114,0.0
Arm05_107,Arm05_101,0.0
Arm05_107,Arm05_102,0.5
Arm05_107,Arm05_103,0.0
Arm05_107,Arm05_104,0.0
Arm05_107,Arm05_105,0.0
Arm05_107,Arm05_106,0.0
Arm05_107,Arm05_107,1.0
Arm05_107,Arm05_108,0.0
Arm05_107,Arm05_109,0.0
Arm05_107,Arm05_110,0.1
Arm05_107,Arm05_111,0.0
Arm05_107,Arm05_112,0.0
Arm05_107,Arm05_113,0.0
Arm05_107,Arm05_114,0.0
Arm05_108,Arm05_101,0.0
Arm05_108,Arm05_102,0.0
Arm05_108,Arm05_103,0.0
Arm05_108,Arm05_104,0.0
Arm05_108,Arm05_105,0.0
Arm05_108,Arm05_106,0.0
Arm05_108,Arm05_107,0.0
Arm05_108,Arm05_108,1.0
Arm05_108,Arm05_109,0.0
Arm05_108,Arm05_110,0.0
Arm05_108,Arm05_111,0.0
Arm05_108,Arm05_112,0.0
Arm05_108,Arm05_113,0.0
Arm05_108,Arm05_114,0.0
Arm05_109,Arm05_101,0.0
Arm05_109,Arm05_102,0.0
Arm05_109,Arm05_103,0.0
Arm05_109,Arm05_104,0.5
Arm05_109,Arm05_105,0.0
Arm05_109,Arm05_106,0.0
Arm05_109,Arm05_107,0.0
Arm05_109,Arm05_108,0.0
Arm05_109,Arm05_109,1.0
Arm05_109,Arm05_110,0.0
Arm05_109,Arm05_111,0.0
Arm05_109,Arm05_112,0.0
Arm05_109,Arm05_113,0.0
Arm05_109,Arm05_114,0.0
Arm05_110,Arm05_101,0.0
Arm05_110,Arm05_102,0.0
Arm05_110,Arm05_103,0.0
Arm05_110,Arm05_104,0.0
Arm05_110,Arm05_105,0.0
Arm05_110,Arm05_106,0.0
Arm05_110,Arm05_107,0.5
Arm05_110,Arm05_108,0.0
Arm05_110,Arm05_109,0.0
Arm05_110,Arm05_110,1.0
Arm05_110,Arm05_111,0.0
Arm05_110,Arm05_112,0.1
Arm05_110,Arm05_113,0.0
Arm05_110,Arm05_114,0.0
Arm05_111,Arm05_101,0.0
Arm05_111,Arm05_102,0.0
Arm05_111,Arm05_103,0.0
Arm05_111,Arm05_104,0.0
Arm05_111,Arm05_105,0.0
Arm05_111,Arm05_106,0.0
Arm05_111,Arm05_107,0.0
Arm05_111,Arm05_108,0.0
Arm05_111,Arm05_109,0.0
Arm05_111,Arm05_110,0.0
Arm05_111,Arm05_111,1.0
Arm05_111,Arm05_112,0.0
Arm05_111,Arm05_113,0.0
Arm05_111,Arm05_114,0.0
Arm05_112,Arm05_101,0.0
Arm05_112,Arm05_102,0.0
Arm05_112,Arm05_103,0.0
Arm05_112,Arm05_104,0.0
Arm05_112,Arm05_105,0.0
Arm05_112,Arm05_106,0.0
Arm05_112,Arm05_107,0.0
Arm05_112,Arm05_108,0.0
Arm05_112,Arm05_109,0.0
Arm05_112,Arm05_110,0.5
Arm05_112,Arm05_111,0.0
Arm05_112,Arm05_112,1.0
Arm05_112,Arm05_113,0.0
Arm05_112,Arm05_114,0.0
Arm05_113,Arm05_101,0.0
Arm05_113,Arm05_102,0.0
Arm05_113,Arm05_103,0.0
Arm05_113,Arm05_104,0.0
Arm05_113,Arm05_105,0.0
Arm05_113,Arm05_106,0.0
Arm05_113,Arm05_107,0.0
Arm05_113,Arm05_108,0.0
Arm05_113,Arm05_109,0.0
Arm05_113,Arm05_110,0.0
Arm05_113,Arm05_111,0.0
Arm05_113,Arm05_112,0.0
Arm05_113,Arm05_113,1.0
Arm05_113,Arm05_114,0.0
Arm05_114,Arm05_101,0.0
Arm05_114,Arm05_102,0.0
Arm05_114,Arm05_103,0.0
Arm05_114,Arm05_104,0.0
Arm05_114,Arm05_105,0.0
Arm05_114,Arm05_106,0.0
Arm05_114,Arm05_107,0.0
Arm05_114,Arm05_108,0.0
Arm05_114,Arm05_109,0.0
Arm05_114,Arm05_110,0.0
Arm05_114,Arm05_111,0.0
Arm05_114,Arm05_112,0.0
Arm05_114,Arm05_113,0.0
